[Wed Oct 05 21:46:03.202339 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP   2. mysql_query() /home/tania/projects/test/add/index.php:198, referer: http://test.local/
[Wed Oct 05 21:46:03.202347 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP Warning:  mysql_query(): A link to the server could not be established in /home/tania/projects/test/add/index.php on line 198, referer: http://test.local/
[Wed Oct 05 21:46:03.202351 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP Stack trace:, referer: http://test.local/
[Wed Oct 05 21:46:03.202355 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP   1. {main}() /home/tania/projects/test/add/index.php:0, referer: http://test.local/
[Wed Oct 05 21:46:03.202369 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP   2. mysql_query() /home/tania/projects/test/add/index.php:198, referer: http://test.local/
[Wed Oct 05 21:46:03.202383 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP Warning:  mysql_numrows() expects parameter 1 to be resource, boolean given in /home/tania/projects/test/add/index.php on line 199, referer: http://test.local/
[Wed Oct 05 21:46:03.202386 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP Stack trace:, referer: http://test.local/
[Wed Oct 05 21:46:03.202391 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP   1. {main}() /home/tania/projects/test/add/index.php:0, referer: http://test.local/
[Wed Oct 05 21:46:03.202395 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP   2. mysql_numrows() /home/tania/projects/test/add/index.php:199, referer: http://test.local/
[Wed Oct 05 21:46:03.202403 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in /home/tania/projects/test/add/index.php on line 201, referer: http://test.local/
[Wed Oct 05 21:46:03.202407 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP Stack trace:, referer: http://test.local/
[Wed Oct 05 21:46:03.202411 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP   1. {main}() /home/tania/projects/test/add/index.php:0, referer: http://test.local/
[Wed Oct 05 21:46:03.202416 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP   2. mysql_fetch_array() /home/tania/projects/test/add/index.php:201, referer: http://test.local/
[Wed Oct 05 21:50:53.129684 2016] [:error] [pid 5094] [client 127.0.0.1:47511] PHP Notice:  Undefined variable: myrow in /home/tania/projects/test/add/edit.php on line 244, referer: http://test.local/index.php
[Wed Oct 05 21:50:53.129726 2016] [:error] [pid 5094] [client 127.0.0.1:47511] PHP Stack trace:, referer: http://test.local/index.php
[Wed Oct 05 21:50:53.129739 2016] [:error] [pid 5094] [client 127.0.0.1:47511] PHP   1. {main}() /home/tania/projects/test/add/edit.php:0, referer: http://test.local/index.php
[Wed Oct 05 21:59:57.372871 2016] [:error] [pid 5019] [client 127.0.0.1:47907] PHP Notice:  Undefined variable: myrow in /home/tania/projects/test/add/edit.php on line 244, referer: http://test.local/index.php
[Wed Oct 05 21:59:57.372917 2016] [:error] [pid 5019] [client 127.0.0.1:47907] PHP Stack trace:, referer: http://test.local/index.php
[Wed Oct 05 21:59:57.372932 2016] [:error] [pid 5019] [client 127.0.0.1:47907] PHP   1. {main}() /home/tania/projects/test/add/edit.php:0, referer: http://test.local/index.php
[Wed Oct 12 08:51:59.241586 2016] [:error] [pid 18655] [client 127.0.0.1:52687] PHP Notice:  Undefined index: from in /home/tania/projects/test/add/preferences.php on line 9, referer: http://test.local/preferences.php?from=%2Findex.php%3Flang%3Des
[Wed Oct 12 08:51:59.263184 2016] [:error] [pid 18655] [client 127.0.0.1:52687] PHP Stack trace:, referer: http://test.local/preferences.php?from=%2Findex.php%3Flang%3Des
[Wed Oct 12 08:51:59.263213 2016] [:error] [pid 18655] [client 127.0.0.1:52687] PHP   1. {main}() /home/tania/projects/test/add/preferences.php:0, referer: http://test.local/preferences.php?from=%2Findex.php%3Flang%3Des
[Wed Oct 12 08:52:03.609837 2016] [:error] [pid 1917] [client 127.0.0.1:52683] PHP Notice:  Undefined index: from in /home/tania/projects/test/add/preferences.php on line 9, referer: http://test.local/preferences.php?from=%2Fpreferences.php%3Flang%3Dru
[Wed Oct 12 08:52:03.609868 2016] [:error] [pid 1917] [client 127.0.0.1:52683] PHP Stack trace:, referer: http://test.local/preferences.php?from=%2Fpreferences.php%3Flang%3Dru
[Wed Oct 12 08:52:03.609875 2016] [:error] [pid 1917] [client 127.0.0.1:52683] PHP   1. {main}() /home/tania/projects/test/add/preferences.php:0, referer: http://test.local/preferences.php?from=%2Fpreferences.php%3Flang%3Dru
[Wed Oct 12 08:52:17.438490 2016] [:error] [pid 18654] [client 127.0.0.1:52693] PHP Notice:  Undefined index: from in /home/tania/projects/test/add/preferences.php on line 9, referer: http://test.local/preferences.php?from=%2Findex.php
[Wed Oct 12 08:52:17.438536 2016] [:error] [pid 18654] [client 127.0.0.1:52693] PHP Stack trace:, referer: http://test.local/preferences.php?from=%2Findex.php
[Wed Oct 12 08:52:17.438550 2016] [:error] [pid 18654] [client 127.0.0.1:52693] PHP   1. {main}() /home/tania/projects/test/add/preferences.php:0, referer: http://test.local/preferences.php?from=%2Findex.php
[Wed Oct 12 08:52:43.779531 2016] [:error] [pid 18774] [client 127.0.0.1:52703] PHP Notice:  Undefined index: from in /home/tania/projects/test/add/preferences.php on line 9, referer: http://test.local/preferences.php?from=%2Fpreferences.php%3Ffrom%3D%252Findex.php%253Flang%253Dzh
[Wed Oct 12 08:52:43.779582 2016] [:error] [pid 18774] [client 127.0.0.1:52703] PHP Stack trace:, referer: http://test.local/preferences.php?from=%2Fpreferences.php%3Ffrom%3D%252Findex.php%253Flang%253Dzh
[Wed Oct 12 08:52:43.779599 2016] [:error] [pid 18774] [client 127.0.0.1:52703] PHP   1. {main}() /home/tania/projects/test/add/preferences.php:0, referer: http://test.local/preferences.php?from=%2Fpreferences.php%3Ffrom%3D%252Findex.php%253Flang%253Dzh
[Wed Oct 12 08:53:27.583561 2016] [:error] [pid 18817] [client 127.0.0.1:52718] PHP Notice:  Undefined variable: myrow in /home/tania/projects/test/add/edit.php on line 244, referer: http://test.local/birthdays.php
[Wed Oct 12 08:53:27.583598 2016] [:error] [pid 18817] [client 127.0.0.1:52718] PHP Stack trace:, referer: http://test.local/birthdays.php
[Wed Oct 12 08:53:27.583607 2016] [:error] [pid 18817] [client 127.0.0.1:52718] PHP   1. {main}() /home/tania/projects/test/add/edit.php:0, referer: http://test.local/birthdays.php
[Wed Oct 12 08:54:22.112412 2016] [:error] [pid 18743] [client 127.0.0.1:52739] PHP Notice:  Undefined index: from in /home/tania/projects/test/add/preferences.php on line 9, referer: http://test.local/preferences.php?from=%2Fbirthdays.php
[Wed Oct 12 08:54:22.112498 2016] [:error] [pid 18743] [client 127.0.0.1:52739] PHP Stack trace:, referer: http://test.local/preferences.php?from=%2Fbirthdays.php
[Wed Oct 12 08:54:22.112527 2016] [:error] [pid 18743] [client 127.0.0.1:52739] PHP   1. {main}() /home/tania/projects/test/add/preferences.php:0, referer: http://test.local/preferences.php?from=%2Fbirthdays.php
[Wed Oct 12 08:54:26.633439 2016] [:error] [pid 18802] [client 127.0.0.1:52748] PHP Notice:  Undefined variable: myrow in /home/tania/projects/test/add/edit.php on line 244, referer: http://test.local/index.php
[Wed Oct 12 08:54:26.633481 2016] [:error] [pid 18802] [client 127.0.0.1:52748] PHP Stack trace:, referer: http://test.local/index.php
[Wed Oct 12 08:54:26.633490 2016] [:error] [pid 18802] [client 127.0.0.1:52748] PHP   1. {main}() /home/tania/projects/test/add/edit.php:0, referer: http://test.local/index.php
[Wed Oct 12 08:54:29.129187 2016] [:error] [pid 18654] [client 127.0.0.1:52746] PHP Notice:  Undefined variable: myrow in /home/tania/projects/test/add/edit.php on line 244, referer: http://test.local/edit.php
[Wed Oct 12 08:54:29.129216 2016] [:error] [pid 18654] [client 127.0.0.1:52746] PHP Stack trace:, referer: http://test.local/edit.php
[Wed Oct 12 08:54:29.129224 2016] [:error] [pid 18654] [client 127.0.0.1:52746] PHP   1. {main}() /home/tania/projects/test/add/edit.php:0, referer: http://test.local/edit.php
[Wed Oct 12 08:54:37.372855 2016] [:error] [pid 18817] [client 127.0.0.1:52749] PHP Notice:  Undefined variable: myrow in /home/tania/projects/test/add/edit.php on line 244, referer: http://test.local/index.php
[Wed Oct 12 08:54:37.372896 2016] [:error] [pid 18817] [client 127.0.0.1:52749] PHP Stack trace:, referer: http://test.local/index.php
[Wed Oct 12 08:54:37.372910 2016] [:error] [pid 18817] [client 127.0.0.1:52749] PHP   1. {main}() /home/tania/projects/test/add/edit.php:0, referer: http://test.local/index.php
[Wed Oct 12 08:54:40.694841 2016] [:error] [pid 18649] [client 127.0.0.1:52752] PHP Notice:  Undefined variable: myrow in /home/tania/projects/test/add/edit.php on line 244, referer: http://test.local/edit.php
[Wed Oct 12 08:54:40.694883 2016] [:error] [pid 18649] [client 127.0.0.1:52752] PHP Stack trace:, referer: http://test.local/edit.php
